prscrbr_type,drug_name,tot_clms,tot_benes,tot_drug_cst,data_source,source_url,extract_year,source_mode,schema_version,retrieved_at_utc
Oncology/Hematology,Vexpro,269,202,212868.98,synthetic proxy,local generated Chapter 3 data,2024,dry_run,2026-06-11,2026-06-17T06:25:03+00:00
Oncology/Hematology,Nexoral,39,27,44804.84,synthetic proxy,local generated Chapter 3 data,2024,dry_run,2026-06-11,2026-06-17T06:25:03+00:00
Cardiology,Vexpro,115,14,107994.47,synthetic proxy,local generated Chapter 3 data,2024,dry_run,2026-06-11,2026-06-17T06:25:03+00:00
Cardiology,Nexoral,270,24,262897.59,synthetic proxy,local generated Chapter 3 data,2024,dry_run,2026-06-11,2026-06-17T06:25:03+00:00
Endocrinology,Nexoral,122,73,79581.61,synthetic proxy,local generated Chapter 3 data,2024,dry_run,2026-06-11,2026-06-17T06:25:03+00:00
Endocrinology,Vexpro,131,97,25614.87,synthetic proxy,local generated Chapter 3 data,2024,dry_run,2026-06-11,2026-06-17T06:25:03+00:00
Family Practice,Vexpro,15,11,2978.12,synthetic proxy,local generated Chapter 3 data,2024,dry_run,2026-06-11,2026-06-17T06:25:03+00:00
Family Practice,Nexoral,283,135,176764.33,synthetic proxy,local generated Chapter 3 data,2024,dry_run,2026-06-11,2026-06-17T06:25:03+00:00
Pulmonology,Roventra,138,130,64686.84,synthetic proxy,local generated Chapter 3 data,2024,dry_run,2026-06-11,2026-06-17T06:25:03+00:00
Pulmonology,Nexoral,47,34,20012.2,synthetic proxy,local generated Chapter 3 data,2024,dry_run,2026-06-11,2026-06-17T06:25:03+00:00
Pulmonology,Vexpro,120,119,43896.96,synthetic proxy,local generated Chapter 3 data,2024,dry_run,2026-06-11,2026-06-17T06:25:03+00:00
Cardiology,Nexoral,17,17,5985.42,synthetic proxy,local generated Chapter 3 data,2024,dry_run,2026-06-11,2026-06-17T06:25:03+00:00
Cardiology,Roventra,46,35,33439.33,synthetic proxy,local generated Chapter 3 data,2024,dry_run,2026-06-11,2026-06-17T06:25:03+00:00
Cardiology,Vexpro,108,77,94210.77,synthetic proxy,local generated Chapter 3 data,2024,dry_run,2026-06-11,2026-06-17T06:25:03+00:00
Endocrinology,Vexpro,81,29,52238.79,synthetic proxy,local generated Chapter 3 data,2024,dry_run,2026-06-11,2026-06-17T06:25:03+00:00
Endocrinology,Roventra,235,92,247295.85,synthetic proxy,local generated Chapter 3 data,2024,dry_run,2026-06-11,2026-06-17T06:25:03+00:00
Family Practice,Vexpro,19,14,16477.59,synthetic proxy,local generated Chapter 3 data,2024,dry_run,2026-06-11,2026-06-17T06:25:03+00:00
Family Practice,Roventra,267,80,294701.25,synthetic proxy,local generated Chapter 3 data,2024,dry_run,2026-06-11,2026-06-17T06:25:03+00:00
Family Practice,Nexoral,90,43,11281.74,synthetic proxy,local generated Chapter 3 data,2024,dry_run,2026-06-11,2026-06-17T06:25:03+00:00
Oncology/Hematology,Nexoral,213,110,248198.87,synthetic proxy,local generated Chapter 3 data,2024,dry_run,2026-06-11,2026-06-17T06:25:03+00:00
Oncology/Hematology,Vexpro,190,33,119584.52,synthetic proxy,local generated Chapter 3 data,2024,dry_run,2026-06-11,2026-06-17T06:25:03+00:00
Pulmonology,Nexoral,192,12,34470.49,synthetic proxy,local generated Chapter 3 data,2024,dry_run,2026-06-11,2026-06-17T06:25:03+00:00
Pulmonology,Vexpro,224,68,141974.09,synthetic proxy,local generated Chapter 3 data,2024,dry_run,2026-06-11,2026-06-17T06:25:03+00:00
Rheumatology,Nexoral,49,23,9422.23,synthetic proxy,local generated Chapter 3 data,2024,dry_run,2026-06-11,2026-06-17T06:25:03+00:00
Rheumatology,Vexpro,54,26,61169.35,synthetic proxy,local generated Chapter 3 data,2024,dry_run,2026-06-11,2026-06-17T06:25:03+00:00
Rheumatology,Roventra,138,69,109120.06,synthetic proxy,local generated Chapter 3 data,2024,dry_run,2026-06-11,2026-06-17T06:25:03+00:00
Family Practice,Roventra,141,31,144080.97,synthetic proxy,local generated Chapter 3 data,2024,dry_run,2026-06-11,2026-06-17T06:25:03+00:00
Family Practice,Nexoral,59,34,31760.68,synthetic proxy,local generated Chapter 3 data,2024,dry_run,2026-06-11,2026-06-17T06:25:03+00:00
Oncology/Hematology,Roventra,20,19,4488.76,synthetic proxy,local generated Chapter 3 data,2024,dry_run,2026-06-11,2026-06-17T06:25:03+00:00
Oncology/Hematology,Vexpro,180,69,134452.41,synthetic proxy,local generated Chapter 3 data,2024,dry_run,2026-06-11,2026-06-17T06:25:03+00:00
Cardiology,Nexoral,271,28,285280.69,synthetic proxy,local generated Chapter 3 data,2024,dry_run,2026-06-11,2026-06-17T06:25:03+00:00
Family Practice,Nexoral,85,46,65286.09,synthetic proxy,local generated Chapter 3 data,2024,dry_run,2026-06-11,2026-06-17T06:25:03+00:00
Family Practice,Vexpro,87,73,65822.47,synthetic proxy,local generated Chapter 3 data,2024,dry_run,2026-06-11,2026-06-17T06:25:03+00:00
Oncology/Hematology,Nexoral,75,74,84128.58,synthetic proxy,local generated Chapter 3 data,2024,dry_run,2026-06-11,2026-06-17T06:25:03+00:00
Pulmonology,Roventra,146,109,99598.29,synthetic proxy,local generated Chapter 3 data,2024,dry_run,2026-06-11,2026-06-17T06:25:03+00:00
Endocrinology,Vexpro,189,129,138946.22,synthetic proxy,local generated Chapter 3 data,2024,dry_run,2026-06-11,2026-06-17T06:25:03+00:00
Endocrinology,Nexoral,25,15,21536.07,synthetic proxy,local generated Chapter 3 data,2024,dry_run,2026-06-11,2026-06-17T06:25:03+00:00
Family Practice,Nexoral,91,84,8060.03,synthetic proxy,local generated Chapter 3 data,2024,dry_run,2026-06-11,2026-06-17T06:25:03+00:00
Family Practice,Vexpro,80,59,30639.46,synthetic proxy,local generated Chapter 3 data,2024,dry_run,2026-06-11,2026-06-17T06:25:03+00:00
Cardiology,Roventra,245,188,59094.05,synthetic proxy,local generated Chapter 3 data,2024,dry_run,2026-06-11,2026-06-17T06:25:03+00:00
Cardiology,Nexoral,109,44,98987.36,synthetic proxy,local generated Chapter 3 data,2024,dry_run,2026-06-11,2026-06-17T06:25:03+00:00
Pulmonology,Nexoral,201,66,157376.61,synthetic proxy,local generated Chapter 3 data,2024,dry_run,2026-06-11,2026-06-17T06:25:03+00:00
Oncology/Hematology,Vexpro,241,231,161525.74,synthetic proxy,local generated Chapter 3 data,2024,dry_run,2026-06-11,2026-06-17T06:25:03+00:00
Endocrinology,Vexpro,251,221,217256.34,synthetic proxy,local generated Chapter 3 data,2024,dry_run,2026-06-11,2026-06-17T06:25:03+00:00
Endocrinology,Roventra,223,138,192176.02,synthetic proxy,local generated Chapter 3 data,2024,dry_run,2026-06-11,2026-06-17T06:25:03+00:00
Endocrinology,Vexpro,126,67,63626.55,synthetic proxy,local generated Chapter 3 data,2024,dry_run,2026-06-11,2026-06-17T06:25:03+00:00
Family Practice,Nexoral,129,58,26567.01,synthetic proxy,local generated Chapter 3 data,2024,dry_run,2026-06-11,2026-06-17T06:25:03+00:00
Family Practice,Vexpro,19,13,20551.79,synthetic proxy,local generated Chapter 3 data,2024,dry_run,2026-06-11,2026-06-17T06:25:03+00:00
Family Practice,Vexpro,35,19,30673.08,synthetic proxy,local generated Chapter 3 data,2024,dry_run,2026-06-11,2026-06-17T06:25:03+00:00
Endocrinology,Roventra,265,120,307260.13,synthetic proxy,local generated Chapter 3 data,2024,dry_run,2026-06-11,2026-06-17T06:25:03+00:00
Family Practice,Nexoral,127,72,108881.2,synthetic proxy,local generated Chapter 3 data,2024,dry_run,2026-06-11,2026-06-17T06:25:03+00:00
Endocrinology,Nexoral,243,232,136914.02,synthetic proxy,local generated Chapter 3 data,2024,dry_run,2026-06-11,2026-06-17T06:25:03+00:00
Endocrinology,Vexpro,168,69,22155.51,synthetic proxy,local generated Chapter 3 data,2024,dry_run,2026-06-11,2026-06-17T06:25:03+00:00
Oncology/Hematology,Nexoral,199,27,90265.74,synthetic proxy,local generated Chapter 3 data,2024,dry_run,2026-06-11,2026-06-17T06:25:03+00:00
Oncology/Hematology,Vexpro,26,13,12717.29,synthetic proxy,local generated Chapter 3 data,2024,dry_run,2026-06-11,2026-06-17T06:25:03+00:00
Oncology/Hematology,Roventra,126,37,14947.35,synthetic proxy,local generated Chapter 3 data,2024,dry_run,2026-06-11,2026-06-17T06:25:03+00:00
Oncology/Hematology,Vexpro,226,186,120878.32,synthetic proxy,local generated Chapter 3 data,2024,dry_run,2026-06-11,2026-06-17T06:25:03+00:00
Rheumatology,Nexoral,41,11,23669.29,synthetic proxy,local generated Chapter 3 data,2024,dry_run,2026-06-11,2026-06-17T06:25:03+00:00
Rheumatology,Roventra,126,113,60021.27,synthetic proxy,local generated Chapter 3 data,2024,dry_run,2026-06-11,2026-06-17T06:25:03+00:00
Family Practice,Vexpro,190,27,141227.49,synthetic proxy,local generated Chapter 3 data,2024,dry_run,2026-06-11,2026-06-17T06:25:03+00:00
Family Practice,Nexoral,229,206,47577.1,synthetic proxy,local generated Chapter 3 data,2024,dry_run,2026-06-11,2026-06-17T06:25:03+00:00
Oncology/Hematology,Vexpro,67,65,56881.26,synthetic proxy,local generated Chapter 3 data,2024,dry_run,2026-06-11,2026-06-17T06:25:03+00:00
Oncology/Hematology,Nexoral,150,131,106535.29,synthetic proxy,local generated Chapter 3 data,2024,dry_run,2026-06-11,2026-06-17T06:25:03+00:00
Family Practice,Vexpro,124,47,94125.95,synthetic proxy,local generated Chapter 3 data,2024,dry_run,2026-06-11,2026-06-17T06:25:03+00:00
Rheumatology,Vexpro,285,78,97785.64,synthetic proxy,local generated Chapter 3 data,2024,dry_run,2026-06-11,2026-06-17T06:25:03+00:00
Cardiology,Roventra,54,38,16163.11,synthetic proxy,local generated Chapter 3 data,2024,dry_run,2026-06-11,2026-06-17T06:25:03+00:00
Cardiology,Vexpro,256,65,191993.48,synthetic proxy,local generated Chapter 3 data,2024,dry_run,2026-06-11,2026-06-17T06:25:03+00:00
Cardiology,Nexoral,45,33,25226.33,synthetic proxy,local generated Chapter 3 data,2024,dry_run,2026-06-11,2026-06-17T06:25:03+00:00
Family Practice,Nexoral,265,177,40979.9,synthetic proxy,local generated Chapter 3 data,2024,dry_run,2026-06-11,2026-06-17T06:25:03+00:00
Family Practice,Nexoral,260,73,44583.12,synthetic proxy,local generated Chapter 3 data,2024,dry_run,2026-06-11,2026-06-17T06:25:03+00:00
Family Practice,Roventra,214,174,61407.51,synthetic proxy,local generated Chapter 3 data,2024,dry_run,2026-06-11,2026-06-17T06:25:03+00:00
Family Practice,Vexpro,134,24,103264.58,synthetic proxy,local generated Chapter 3 data,2024,dry_run,2026-06-11,2026-06-17T06:25:03+00:00
Oncology/Hematology,Roventra,150,90,114037.75,synthetic proxy,local generated Chapter 3 data,2024,dry_run,2026-06-11,2026-06-17T06:25:03+00:00
Oncology/Hematology,Vexpro,262,200,111151.51,synthetic proxy,local generated Chapter 3 data,2024,dry_run,2026-06-11,2026-06-17T06:25:03+00:00
Endocrinology,Vexpro,142,119,62857.06,synthetic proxy,local generated Chapter 3 data,2024,dry_run,2026-06-11,2026-06-17T06:25:03+00:00
Endocrinology,Roventra,71,20,28476.39,synthetic proxy,local generated Chapter 3 data,2024,dry_run,2026-06-11,2026-06-17T06:25:03+00:00
Family Practice,Vexpro,121,11,65926.87,synthetic proxy,local generated Chapter 3 data,2024,dry_run,2026-06-11,2026-06-17T06:25:03+00:00
Family Practice,Vexpro,252,156,287290.2,synthetic proxy,local generated Chapter 3 data,2024,dry_run,2026-06-11,2026-06-17T06:25:03+00:00
Family Practice,Nexoral,133,26,45178.08,synthetic proxy,local generated Chapter 3 data,2024,dry_run,2026-06-11,2026-06-17T06:25:03+00:00
Rheumatology,Vexpro,206,71,53833.02,synthetic proxy,local generated Chapter 3 data,2024,dry_run,2026-06-11,2026-06-17T06:25:03+00:00
Rheumatology,Vexpro,45,25,18767.29,synthetic proxy,local generated Chapter 3 data,2024,dry_run,2026-06-11,2026-06-17T06:25:03+00:00
Family Practice,Vexpro,175,143,170773.08,synthetic proxy,local generated Chapter 3 data,2024,dry_run,2026-06-11,2026-06-17T06:25:03+00:00
Endocrinology,Vexpro,207,183,21191.6,synthetic proxy,local generated Chapter 3 data,2024,dry_run,2026-06-11,2026-06-17T06:25:03+00:00
Endocrinology,Nexoral,284,83,88755.73,synthetic proxy,local generated Chapter 3 data,2024,dry_run,2026-06-11,2026-06-17T06:25:03+00:00
Endocrinology,Nexoral,101,73,50876.1,synthetic proxy,local generated Chapter 3 data,2024,dry_run,2026-06-11,2026-06-17T06:25:03+00:00
Family Practice,Vexpro,171,76,33869.02,synthetic proxy,local generated Chapter 3 data,2024,dry_run,2026-06-11,2026-06-17T06:25:03+00:00
Family Practice,Nexoral,56,54,58644.09,synthetic proxy,local generated Chapter 3 data,2024,dry_run,2026-06-11,2026-06-17T06:25:03+00:00
Endocrinology,Vexpro,66,18,14417.84,synthetic proxy,local generated Chapter 3 data,2024,dry_run,2026-06-11,2026-06-17T06:25:03+00:00
Cardiology,Vexpro,152,92,60566.58,synthetic proxy,local generated Chapter 3 data,2024,dry_run,2026-06-11,2026-06-17T06:25:03+00:00
Cardiology,Nexoral,207,77,238540.2,synthetic proxy,local generated Chapter 3 data,2024,dry_run,2026-06-11,2026-06-17T06:25:03+00:00
Oncology/Hematology,Vexpro,140,50,121236.2,synthetic proxy,local generated Chapter 3 data,2024,dry_run,2026-06-11,2026-06-17T06:25:03+00:00
Oncology/Hematology,Nexoral,276,242,78542.08,synthetic proxy,local generated Chapter 3 data,2024,dry_run,2026-06-11,2026-06-17T06:25:03+00:00
Oncology/Hematology,Nexoral,224,40,114990.99,synthetic proxy,local generated Chapter 3 data,2024,dry_run,2026-06-11,2026-06-17T06:25:03+00:00
Pulmonology,Nexoral,125,116,114952.31,synthetic proxy,local generated Chapter 3 data,2024,dry_run,2026-06-11,2026-06-17T06:25:03+00:00
Rheumatology,Roventra,218,210,145447.58,synthetic proxy,local generated Chapter 3 data,2024,dry_run,2026-06-11,2026-06-17T06:25:03+00:00
Rheumatology,Nexoral,170,169,58945.3,synthetic proxy,local generated Chapter 3 data,2024,dry_run,2026-06-11,2026-06-17T06:25:03+00:00
Family Practice,Roventra,57,55,30393.29,synthetic proxy,local generated Chapter 3 data,2024,dry_run,2026-06-11,2026-06-17T06:25:03+00:00
Pulmonology,Vexpro,141,40,29715.05,synthetic proxy,local generated Chapter 3 data,2024,dry_run,2026-06-11,2026-06-17T06:25:03+00:00
Rheumatology,Nexoral,98,11,51807.39,synthetic proxy,local generated Chapter 3 data,2024,dry_run,2026-06-11,2026-06-17T06:25:03+00:00
Rheumatology,Roventra,143,55,156314.63,synthetic proxy,local generated Chapter 3 data,2024,dry_run,2026-06-11,2026-06-17T06:25:03+00:00
Rheumatology,Vexpro,47,35,46064.13,synthetic proxy,local generated Chapter 3 data,2024,dry_run,2026-06-11,2026-06-17T06:25:03+00:00
Family Practice,Vexpro,118,50,101336.89,synthetic proxy,local generated Chapter 3 data,2024,dry_run,2026-06-11,2026-06-17T06:25:03+00:00
Family Practice,Nexoral,185,178,179586.69,synthetic proxy,local generated Chapter 3 data,2024,dry_run,2026-06-11,2026-06-17T06:25:03+00:00
Pulmonology,Vexpro,266,113,129461.04,synthetic proxy,local generated Chapter 3 data,2024,dry_run,2026-06-11,2026-06-17T06:25:03+00:00
Pulmonology,Nexoral,208,64,176467.75,synthetic proxy,local generated Chapter 3 data,2024,dry_run,2026-06-11,2026-06-17T06:25:03+00:00
Family Practice,Nexoral,32,22,8958.89,synthetic proxy,local generated Chapter 3 data,2024,dry_run,2026-06-11,2026-06-17T06:25:03+00:00
Family Practice,Vexpro,57,47,22369.82,synthetic proxy,local generated Chapter 3 data,2024,dry_run,2026-06-11,2026-06-17T06:25:03+00:00
Family Practice,Vexpro,207,165,18314.62,synthetic proxy,local generated Chapter 3 data,2024,dry_run,2026-06-11,2026-06-17T06:25:03+00:00
Cardiology,Nexoral,55,29,53691.59,synthetic proxy,local generated Chapter 3 data,2024,dry_run,2026-06-11,2026-06-17T06:25:03+00:00
Family Practice,Vexpro,157,112,152665.57,synthetic proxy,local generated Chapter 3 data,2024,dry_run,2026-06-11,2026-06-17T06:25:03+00:00
Family Practice,Nexoral,147,127,102427.78,synthetic proxy,local generated Chapter 3 data,2024,dry_run,2026-06-11,2026-06-17T06:25:03+00:00
Pulmonology,Vexpro,81,51,77345.71,synthetic proxy,local generated Chapter 3 data,2024,dry_run,2026-06-11,2026-06-17T06:25:03+00:00
Oncology/Hematology,Nexoral,168,146,26900.0,synthetic proxy,local generated Chapter 3 data,2024,dry_run,2026-06-11,2026-06-17T06:25:03+00:00
Oncology/Hematology,Roventra,14,14,8816.4,synthetic proxy,local generated Chapter 3 data,2024,dry_run,2026-06-11,2026-06-17T06:25:03+00:00
Rheumatology,Vexpro,281,223,43734.23,synthetic proxy,local generated Chapter 3 data,2024,dry_run,2026-06-11,2026-06-17T06:25:03+00:00
Rheumatology,Roventra,117,50,57272.27,synthetic proxy,local generated Chapter 3 data,2024,dry_run,2026-06-11,2026-06-17T06:25:03+00:00
Family Practice,Nexoral,47,38,18965.29,synthetic proxy,local generated Chapter 3 data,2024,dry_run,2026-06-11,2026-06-17T06:25:03+00:00
Family Practice,Roventra,292,275,349230.55,synthetic proxy,local generated Chapter 3 data,2024,dry_run,2026-06-11,2026-06-17T06:25:03+00:00
Endocrinology,Roventra,111,25,58896.57,synthetic proxy,local generated Chapter 3 data,2024,dry_run,2026-06-11,2026-06-17T06:25:03+00:00
Cardiology,Vexpro,143,121,135581.84,synthetic proxy,local generated Chapter 3 data,2024,dry_run,2026-06-11,2026-06-17T06:25:03+00:00
Rheumatology,Nexoral,41,29,46494.82,synthetic proxy,local generated Chapter 3 data,2024,dry_run,2026-06-11,2026-06-17T06:25:03+00:00
Family Practice,Nexoral,218,108,236964.16,synthetic proxy,local generated Chapter 3 data,2024,dry_run,2026-06-11,2026-06-17T06:25:03+00:00
Family Practice,Vexpro,192,85,206816.46,synthetic proxy,local generated Chapter 3 data,2024,dry_run,2026-06-11,2026-06-17T06:25:03+00:00
Pulmonology,Nexoral,117,39,104139.55,synthetic proxy,local generated Chapter 3 data,2024,dry_run,2026-06-11,2026-06-17T06:25:03+00:00
Cardiology,Vexpro,52,42,18289.62,synthetic proxy,local generated Chapter 3 data,2024,dry_run,2026-06-11,2026-06-17T06:25:03+00:00
Cardiology,Roventra,206,12,26813.36,synthetic proxy,local generated Chapter 3 data,2024,dry_run,2026-06-11,2026-06-17T06:25:03+00:00
Cardiology,Nexoral,205,87,59595.65,synthetic proxy,local generated Chapter 3 data,2024,dry_run,2026-06-11,2026-06-17T06:25:03+00:00
Rheumatology,Nexoral,168,128,46927.04,synthetic proxy,local generated Chapter 3 data,2024,dry_run,2026-06-11,2026-06-17T06:25:03+00:00
Rheumatology,Vexpro,171,128,85310.43,synthetic proxy,local generated Chapter 3 data,2024,dry_run,2026-06-11,2026-06-17T06:25:03+00:00
Oncology/Hematology,Nexoral,238,76,193468.41,synthetic proxy,local generated Chapter 3 data,2024,dry_run,2026-06-11,2026-06-17T06:25:03+00:00
Oncology/Hematology,Vexpro,267,39,129926.55,synthetic proxy,local generated Chapter 3 data,2024,dry_run,2026-06-11,2026-06-17T06:25:03+00:00
Endocrinology,Vexpro,142,102,72924.39,synthetic proxy,local generated Chapter 3 data,2024,dry_run,2026-06-11,2026-06-17T06:25:03+00:00
Endocrinology,Nexoral,199,130,119894.55,synthetic proxy,local generated Chapter 3 data,2024,dry_run,2026-06-11,2026-06-17T06:25:03+00:00
Family Practice,Nexoral,280,166,116300.39,synthetic proxy,local generated Chapter 3 data,2024,dry_run,2026-06-11,2026-06-17T06:25:03+00:00
Endocrinology,Roventra,124,119,80388.96,synthetic proxy,local generated Chapter 3 data,2024,dry_run,2026-06-11,2026-06-17T06:25:03+00:00
Endocrinology,Nexoral,242,115,176926.74,synthetic proxy,local generated Chapter 3 data,2024,dry_run,2026-06-11,2026-06-17T06:25:03+00:00
Family Practice,Roventra,220,165,246814.65,synthetic proxy,local generated Chapter 3 data,2024,dry_run,2026-06-11,2026-06-17T06:25:03+00:00
Endocrinology,Vexpro,173,84,122182.6,synthetic proxy,local generated Chapter 3 data,2024,dry_run,2026-06-11,2026-06-17T06:25:03+00:00
Endocrinology,Roventra,137,26,138094.47,synthetic proxy,local generated Chapter 3 data,2024,dry_run,2026-06-11,2026-06-17T06:25:03+00:00
Endocrinology,Roventra,278,55,233628.81,synthetic proxy,local generated Chapter 3 data,2024,dry_run,2026-06-11,2026-06-17T06:25:03+00:00
Endocrinology,Vexpro,244,158,291046.75,synthetic proxy,local generated Chapter 3 data,2024,dry_run,2026-06-11,2026-06-17T06:25:03+00:00
Oncology/Hematology,Roventra,153,44,110794.08,synthetic proxy,local generated Chapter 3 data,2024,dry_run,2026-06-11,2026-06-17T06:25:03+00:00
Cardiology,Roventra,161,143,89613.13,synthetic proxy,local generated Chapter 3 data,2024,dry_run,2026-06-11,2026-06-17T06:25:03+00:00
Family Practice,Vexpro,156,71,70875.18,synthetic proxy,local generated Chapter 3 data,2024,dry_run,2026-06-11,2026-06-17T06:25:03+00:00
Endocrinology,Vexpro,27,26,29128.39,synthetic proxy,local generated Chapter 3 data,2024,dry_run,2026-06-11,2026-06-17T06:25:03+00:00
Endocrinology,Nexoral,95,30,8691.46,synthetic proxy,local generated Chapter 3 data,2024,dry_run,2026-06-11,2026-06-17T06:25:03+00:00
Oncology/Hematology,Nexoral,180,29,112292.97,synthetic proxy,local generated Chapter 3 data,2024,dry_run,2026-06-11,2026-06-17T06:25:03+00:00
Oncology/Hematology,Vexpro,107,51,14788.41,synthetic proxy,local generated Chapter 3 data,2024,dry_run,2026-06-11,2026-06-17T06:25:03+00:00
Oncology/Hematology,Vexpro,184,59,211647.07,synthetic proxy,local generated Chapter 3 data,2024,dry_run,2026-06-11,2026-06-17T06:25:03+00:00
Endocrinology,Nexoral,235,155,159164.57,synthetic proxy,local generated Chapter 3 data,2024,dry_run,2026-06-11,2026-06-17T06:25:03+00:00
Family Practice,Roventra,210,174,240145.32,synthetic proxy,local generated Chapter 3 data,2024,dry_run,2026-06-11,2026-06-17T06:25:03+00:00
Endocrinology,Nexoral,89,31,66293.19,synthetic proxy,local generated Chapter 3 data,2024,dry_run,2026-06-11,2026-06-17T06:25:03+00:00
Endocrinology,Roventra,142,74,120876.62,synthetic proxy,local generated Chapter 3 data,2024,dry_run,2026-06-11,2026-06-17T06:25:03+00:00
Endocrinology,Vexpro,56,40,52573.06,synthetic proxy,local generated Chapter 3 data,2024,dry_run,2026-06-11,2026-06-17T06:25:03+00:00
Family Practice,Nexoral,20,12,16642.19,synthetic proxy,local generated Chapter 3 data,2024,dry_run,2026-06-11,2026-06-17T06:25:03+00:00
Cardiology,Vexpro,160,52,14756.15,synthetic proxy,local generated Chapter 3 data,2024,dry_run,2026-06-11,2026-06-17T06:25:03+00:00
Cardiology,Nexoral,130,32,10420.62,synthetic proxy,local generated Chapter 3 data,2024,dry_run,2026-06-11,2026-06-17T06:25:03+00:00
Cardiology,Roventra,263,202,134026.62,synthetic proxy,local generated Chapter 3 data,2024,dry_run,2026-06-11,2026-06-17T06:25:03+00:00
Endocrinology,Roventra,21,21,8126.33,synthetic proxy,local generated Chapter 3 data,2024,dry_run,2026-06-11,2026-06-17T06:25:03+00:00
Oncology/Hematology,Nexoral,257,100,110470.98,synthetic proxy,local generated Chapter 3 data,2024,dry_run,2026-06-11,2026-06-17T06:25:03+00:00
Oncology/Hematology,Roventra,108,44,110973.84,synthetic proxy,local generated Chapter 3 data,2024,dry_run,2026-06-11,2026-06-17T06:25:03+00:00
Oncology/Hematology,Vexpro,51,20,13280.25,synthetic proxy,local generated Chapter 3 data,2024,dry_run,2026-06-11,2026-06-17T06:25:03+00:00
Family Practice,Roventra,156,93,136620.16,synthetic proxy,local generated Chapter 3 data,2024,dry_run,2026-06-11,2026-06-17T06:25:03+00:00
Family Practice,Vexpro,275,250,31406.4,synthetic proxy,local generated Chapter 3 data,2024,dry_run,2026-06-11,2026-06-17T06:25:03+00:00
Pulmonology,Nexoral,156,36,75956.41,synthetic proxy,local generated Chapter 3 data,2024,dry_run,2026-06-11,2026-06-17T06:25:03+00:00
Pulmonology,Vexpro,277,127,330110.15,synthetic proxy,local generated Chapter 3 data,2024,dry_run,2026-06-11,2026-06-17T06:25:03+00:00
Pulmonology,Nexoral,107,24,110864.01,synthetic proxy,local generated Chapter 3 data,2024,dry_run,2026-06-11,2026-06-17T06:25:03+00:00
Oncology/Hematology,Nexoral,147,85,24647.07,synthetic proxy,local generated Chapter 3 data,2024,dry_run,2026-06-11,2026-06-17T06:25:03+00:00
Oncology/Hematology,Vexpro,225,103,45568.44,synthetic proxy,local generated Chapter 3 data,2024,dry_run,2026-06-11,2026-06-17T06:25:03+00:00
Cardiology,Nexoral,81,48,28011.95,synthetic proxy,local generated Chapter 3 data,2024,dry_run,2026-06-11,2026-06-17T06:25:03+00:00
Cardiology,Vexpro,192,188,53397.88,synthetic proxy,local generated Chapter 3 data,2024,dry_run,2026-06-11,2026-06-17T06:25:03+00:00
Cardiology,Nexoral,97,16,19640.43,synthetic proxy,local generated Chapter 3 data,2024,dry_run,2026-06-11,2026-06-17T06:25:03+00:00
Cardiology,Vexpro,127,21,68585.24,synthetic proxy,local generated Chapter 3 data,2024,dry_run,2026-06-11,2026-06-17T06:25:03+00:00
Cardiology,Nexoral,230,145,196777.94,synthetic proxy,local generated Chapter 3 data,2024,dry_run,2026-06-11,2026-06-17T06:25:03+00:00
Cardiology,Nexoral,21,17,22244.47,synthetic proxy,local generated Chapter 3 data,2024,dry_run,2026-06-11,2026-06-17T06:25:03+00:00
Oncology/Hematology,Vexpro,100,93,57027.5,synthetic proxy,local generated Chapter 3 data,2024,dry_run,2026-06-11,2026-06-17T06:25:03+00:00
Oncology/Hematology,Nexoral,281,132,78506.62,synthetic proxy,local generated Chapter 3 data,2024,dry_run,2026-06-11,2026-06-17T06:25:03+00:00
Oncology/Hematology,Roventra,91,67,49074.53,synthetic proxy,local generated Chapter 3 data,2024,dry_run,2026-06-11,2026-06-17T06:25:03+00:00
Family Practice,Nexoral,24,12,19142.45,synthetic proxy,local generated Chapter 3 data,2024,dry_run,2026-06-11,2026-06-17T06:25:03+00:00
Family Practice,Vexpro,187,21,43781.96,synthetic proxy,local generated Chapter 3 data,2024,dry_run,2026-06-11,2026-06-17T06:25:03+00:00
Cardiology,Nexoral,248,56,207078.92,synthetic proxy,local generated Chapter 3 data,2024,dry_run,2026-06-11,2026-06-17T06:25:03+00:00
Endocrinology,Nexoral,277,102,133245.77,synthetic proxy,local generated Chapter 3 data,2024,dry_run,2026-06-11,2026-06-17T06:25:03+00:00
Endocrinology,Roventra,250,39,231381.66,synthetic proxy,local generated Chapter 3 data,2024,dry_run,2026-06-11,2026-06-17T06:25:03+00:00
Family Practice,Roventra,137,53,100344.38,synthetic proxy,local generated Chapter 3 data,2024,dry_run,2026-06-11,2026-06-17T06:25:03+00:00
Endocrinology,Vexpro,169,62,36433.51,synthetic proxy,local generated Chapter 3 data,2024,dry_run,2026-06-11,2026-06-17T06:25:03+00:00
Endocrinology,Roventra,201,99,120435.68,synthetic proxy,local generated Chapter 3 data,2024,dry_run,2026-06-11,2026-06-17T06:25:03+00:00
Endocrinology,Nexoral,87,45,89205.74,synthetic proxy,local generated Chapter 3 data,2024,dry_run,2026-06-11,2026-06-17T06:25:03+00:00
Family Practice,Nexoral,258,157,117859.94,synthetic proxy,local generated Chapter 3 data,2024,dry_run,2026-06-11,2026-06-17T06:25:03+00:00
