draw,nrmse,decomp_rssd,digital_contribution,digital_pct_error,pareto_efficient
399,0.02751,0.19258,32.82,13.2,False
604,0.02751,0.23644,33.97,17.2,False
2139,0.02751,0.16628,17.56,-39.4,False
19,0.02752,0.20345,33.62,16.0,False
565,0.02752,0.19342,16.38,-43.5,False
1510,0.02752,0.16037,19.25,-33.6,False
539,0.02752,0.18348,21.49,-25.9,False
45,0.02752,0.24912,37.14,28.1,False
2117,0.02752,0.20677,24.74,-14.7,False
1932,0.02752,0.15425,26.17,-9.7,False
3,0.02752,0.17885,15.37,-47.0,False
291,0.02752,0.19183,25.41,-12.4,False
1129,0.02752,0.15815,18.69,-35.5,False
1798,0.02752,0.24018,20.37,-29.8,False
1473,0.02752,0.20911,33.48,15.5,False
14,0.02752,0.20487,15.97,-44.9,False
1899,0.02753,0.24708,39.27,35.5,False
1748,0.02753,0.24459,29.66,2.3,False
1327,0.02753,0.21441,18.94,-34.7,False
1081,0.02753,0.21227,21.95,-24.3,False
1106,0.02753,0.24708,39.27,35.5,False
779,0.02753,0.18337,17.5,-39.6,False
1611,0.02753,0.12433,27.8,-4.1,True
425,0.02753,0.20984,28.96,-0.1,False
1227,0.02753,0.18337,17.5,-39.6,False
1003,0.02753,0.19698,21.0,-27.6,False
314,0.02753,0.27542,22.17,-23.5,False
864,0.02753,0.24625,21.17,-27.0,False
537,0.02753,0.27616,37.87,30.6,False
281,0.02753,0.29657,21.07,-27.3,False
280,0.02753,0.20597,26.33,-9.2,False
158,0.02753,0.15167,30.07,3.7,False
591,0.02753,0.1656,23.45,-19.1,False
59,0.02754,0.14921,24.36,-16.0,False
1962,0.02754,0.23116,9.26,-68.1,False
427,0.02754,0.26082,12.2,-57.9,False
1922,0.02754,0.17388,29.98,3.4,False
1715,0.02754,0.20652,26.98,-6.9,False
1924,0.02754,0.18732,16.41,-43.4,False
1629,0.02754,0.22745,8.75,-69.8,False
128,0.02754,0.16381,20.62,-28.9,False
2087,0.02754,0.25679,21.57,-25.6,False
616,0.02754,0.20472,21.31,-26.5,False
706,0.02754,0.20888,13.11,-54.8,False
767,0.02754,0.23043,33.5,15.6,False
1986,0.02754,0.25734,22.39,-22.8,False
851,0.02754,0.17236,14.67,-49.4,False
1407,0.02754,0.22745,8.75,-69.8,False
282,0.02754,0.20163,24.24,-16.4,False
1123,0.02754,0.20383,28.84,-0.5,False
605,0.02755,0.14613,30.26,4.4,False
1586,0.02755,0.21984,28.08,-3.1,False
1304,0.02755,0.23438,17.04,-41.2,False
1503,0.02755,0.23877,22.79,-21.4,False
364,0.02755,0.23038,9.37,-67.7,False
1465,0.02755,0.19721,26.09,-10.0,False
620,0.02755,0.17249,16.43,-43.3,False
714,0.02755,0.19175,23.52,-18.9,False
488,0.02755,0.17163,24.53,-15.4,False
1864,0.02755,0.18282,32.24,11.2,False
547,0.02755,0.21984,28.08,-3.1,False
997,0.02755,0.22006,24.86,-14.2,False
1842,0.02755,0.19175,23.52,-18.9,False
476,0.02755,0.18978,16.7,-42.4,False
1137,0.02755,0.19149,28.18,-2.8,False
724,0.02755,0.15308,19.59,-32.4,False
1516,0.02755,0.24619,25.8,-11.0,False
1357,0.02756,0.1807,26.37,-9.0,False
1337,0.02756,0.17612,21.3,-26.5,False
1002,0.02756,0.19212,23.22,-19.9,False
151,0.02756,0.14184,22.16,-23.6,False
911,0.02756,0.21251,23.34,-19.5,False
1258,0.02756,0.17612,21.3,-26.5,False
2209,0.02756,0.22627,18.22,-37.2,False
1800,0.02756,0.25086,38.35,32.3,False
70,0.02756,0.19436,16.16,-44.3,False
583,0.02756,0.22147,23.1,-20.3,False
449,0.02756,0.2114,23.39,-19.3,False
893,0.02756,0.12018,29.74,2.6,True
1775,0.02756,0.12018,29.74,2.6,False
373,0.02756,0.17612,21.3,-26.5,False
369,0.02756,0.20513,18.18,-37.3,False
323,0.02756,0.20513,18.18,-37.3,False
402,0.02756,0.20513,18.18,-37.3,False
85,0.02756,0.17463,29.25,0.9,False
631,0.02756,0.17612,21.3,-26.5,False
1099,0.02757,0.25746,12.77,-55.9,False
1460,0.02757,0.29512,20.65,-28.8,False
2070,0.02757,0.25183,33.54,15.7,False
1396,0.02757,0.2216,19.9,-31.4,False
318,0.02757,0.2216,19.9,-31.4,False
287,0.02757,0.2562,20.68,-28.7,False
353,0.02757,0.18108,28.55,-1.5,False
1165,0.02757,0.20298,14.21,-51.0,False
251,0.02757,0.19629,12.28,-57.6,False
1509,0.02757,0.15514,12.68,-56.2,False
789,0.02757,0.19588,31.3,8.0,False
1863,0.02757,0.18582,21.87,-24.6,False
2004,0.02758,0.18923,23.3,-19.6,False
1769,0.02758,0.20007,14.86,-48.7,False
420,0.02758,0.18804,24.51,-15.4,False
543,0.02758,0.24017,26.48,-8.7,False
1765,0.02758,0.19199,17.84,-38.5,False
1849,0.02758,0.16654,17.47,-39.8,False
1468,0.02758,0.16027,25.09,-13.4,False
679,0.02758,0.22296,33.07,14.1,False
1898,0.02758,0.19336,40.47,39.6,False
2367,0.02759,0.23373,19.24,-33.6,False
27,0.02759,0.16506,14.41,-50.3,False
2104,0.02759,0.20447,17.5,-39.6,False
147,0.02759,0.19115,14.76,-49.1,False
892,0.02759,0.21284,23.64,-18.5,False
501,0.02759,0.25738,40.3,39.0,False
503,0.02759,0.22045,12.89,-55.5,False
1349,0.02759,0.19794,27.8,-4.1,False
549,0.02759,0.15936,17.24,-40.5,False
2026,0.02759,0.162,17.59,-39.3,False
1185,0.02759,0.26603,17.71,-38.9,False
982,0.02759,0.22558,38.15,31.6,False
248,0.02759,0.162,17.59,-39.3,False
2232,0.02759,0.20447,17.5,-39.6,False
1603,0.02759,0.21284,23.64,-18.5,False
83,0.02759,0.25738,40.3,39.0,False
2269,0.02759,0.25738,40.3,39.0,False
1490,0.02759,0.24703,25.5,-12.0,False
562,0.0276,0.16985,30.67,5.8,False
1400,0.0276,0.25091,22.64,-21.9,False
2211,0.0276,0.15185,16.98,-41.4,False
1450,0.02761,0.23028,29.87,3.0,False
435,0.02761,0.17247,16.95,-41.5,False
1485,0.02761,0.16239,17.7,-39.0,False
1336,0.02761,0.24601,32.87,13.4,False
313,0.02761,0.18023,33.75,16.4,False
1809,0.02761,0.21549,10.96,-62.2,False
531,0.02761,0.2104,28.58,-1.4,False
1348,0.02761,0.24866,25.88,-10.7,False
2225,0.02761,0.25371,40.13,38.4,False
2283,0.02761,0.1919,24.48,-15.6,False
1936,0.02761,0.23189,12.55,-56.7,False
81,0.02761,0.26001,13.7,-52.7,False
818,0.02761,0.23375,25.22,-13.0,False
136,0.02762,0.22915,9.93,-65.8,False
390,0.02762,0.23248,28.65,-1.2,False
1009,0.02762,0.23927,22.99,-20.7,False
2330,0.02762,0.17624,26.96,-7.0,False
1507,0.02762,0.21848,30.04,3.6,False
2339,0.02762,0.25755,10.16,-65.0,False
1015,0.02762,0.22694,11.61,-59.9,False
255,0.02762,0.22802,22.88,-21.1,False
1638,0.02762,0.17706,21.98,-24.2,False
1350,0.02762,0.23937,32.05,10.6,False
155,0.02762,0.23724,20.04,-30.9,False
1733,0.02762,0.20171,40.86,40.9,False
1358,0.02762,0.19598,24.91,-14.1,False
815,0.02762,0.20911,16.27,-43.9,False
1006,0.02762,0.20363,15.08,-48.0,False
2141,0.02763,0.2196,28.88,-0.4,False
2079,0.02763,0.20125,22.95,-20.8,False
276,0.02763,0.19755,16.2,-44.1,False
269,0.02763,0.15277,13.62,-53.0,False
1082,0.02763,0.23335,34.51,19.0,False
1292,0.02763,0.21597,22.44,-22.6,False
1577,0.02763,0.22758,23.98,-17.3,False
1059,0.02764,0.1859,21.76,-24.9,False
2112,0.02764,0.19956,22.59,-22.1,False
249,0.02764,0.22923,18.24,-37.1,False
182,0.02764,0.17672,33.16,14.4,False
1565,0.02764,0.19393,31.86,9.9,False
1537,0.02764,0.16455,17.4,-40.0,False
1634,0.02764,0.2619,23.97,-17.3,False
2132,0.02764,0.2619,23.97,-17.3,False
2165,0.02764,0.19835,15.88,-45.2,False
11,0.02764,0.22573,18.66,-35.6,False
828,0.02765,0.18505,26.66,-8.0,False
560,0.02765,0.17609,22.3,-23.1,False
2365,0.02765,0.21414,17.99,-38.0,False
133,0.02765,0.28041,24.9,-14.1,False
47,0.02765,0.17758,25.4,-12.4,False
175,0.02765,0.25938,21.83,-24.7,False
2247,0.02765,0.1894,21.98,-24.2,False
1091,0.02765,0.20508,28.18,-2.8,False
699,0.02765,0.22217,28.7,-1.0,False
2107,0.02765,0.25155,11.75,-59.5,False
164,0.02765,0.2164,12.99,-55.2,False
442,0.02765,0.28041,24.9,-14.1,False
1855,0.02765,0.19846,21.71,-25.1,False
497,0.02765,0.20838,11.93,-58.9,False
87,0.02766,0.20518,22.07,-23.9,False
1964,0.02766,0.18088,27.9,-3.7,False
1011,0.02766,0.20983,14.63,-49.5,False
247,0.02766,0.20952,29.65,2.3,False
2292,0.02766,0.2109,25.77,-11.1,False
1146,0.02766,0.20887,16.15,-44.3,False
1820,0.02766,0.20518,22.07,-23.9,False
2065,0.02766,0.20997,27.15,-6.3,False
542,0.02766,0.17037,20.65,-28.8,False
272,0.02767,0.23271,23.41,-19.3,False
1502,0.02767,0.19358,25.53,-11.9,False
1853,0.02767,0.17317,21.63,-25.4,False
2081,0.02767,0.16372,27.88,-3.8,False
877,0.02767,0.18911,28.78,-0.7,False
1848,0.02767,0.25133,36.25,25.0,False
499,0.02767,0.1464,23.94,-17.4,False
39,0.02767,0.22452,14.45,-50.2,False
979,0.02767,0.12348,29.41,1.4,False
1758,0.02767,0.18248,22.47,-22.5,False
2323,0.02767,0.17317,21.63,-25.4,False
1333,0.02767,0.23616,19.59,-32.4,False
662,0.02767,0.23271,23.41,-19.3,False
956,0.02767,0.18248,22.47,-22.5,False
525,0.02767,0.26915,26.91,-7.2,False
1289,0.02768,0.21898,27.9,-3.8,False
2191,0.02768,0.18094,15.13,-47.8,False
589,0.02768,0.20844,24.37,-15.9,False
1291,0.02768,0.23163,23.75,-18.1,False
1070,0.02768,0.23025,9.31,-67.9,False
1689,0.02768,0.14529,19.66,-32.2,False
1991,0.02768,0.18054,27.54,-5.0,False
2040,0.02769,0.20767,21.73,-25.0,False
513,0.02769,0.22015,15.2,-47.6,False
1645,0.02769,0.22927,25.01,-13.7,False
1256,0.02769,0.18404,20.51,-29.2,False
18,0.02769,0.26742,16.26,-43.9,False
1344,0.02769,0.16561,16.63,-42.6,False
913,0.02769,0.15985,18.53,-36.1,False
1495,0.02769,0.18212,30.97,6.8,False
1923,0.0277,0.22809,18.71,-35.5,False
2207,0.0277,0.24132,38.37,32.4,False
918,0.0277,0.2512,19.17,-33.9,False
535,0.0277,0.23567,32.38,11.7,False
536,0.0277,0.19403,17.15,-40.8,False
1816,0.0277,0.21269,18.88,-34.9,False
1219,0.0277,0.24449,9.46,-67.4,False
847,0.0277,0.18078,16.78,-42.1,False
1366,0.0277,0.18622,23.93,-17.5,False
825,0.0277,0.16592,26.33,-9.2,False
958,0.0277,0.21737,15.09,-47.9,False
1042,0.0277,0.24449,9.46,-67.4,False
123,0.02771,0.21276,29.93,3.2,False
1954,0.02771,0.1712,26.19,-9.6,False
2208,0.02771,0.1676,16.76,-42.2,False
112,0.02771,0.19913,16.9,-41.7,False
227,0.02771,0.1712,26.19,-9.6,False
1698,0.02771,0.1712,26.19,-9.6,False
2028,0.02771,0.1712,26.19,-9.6,False
939,0.02771,0.21134,45.05,55.4,False
215,0.02771,0.15821,23.91,-17.5,False
2266,0.02771,0.18609,15.05,-48.1,False
1782,0.02772,0.21856,31.67,9.3,False
1050,0.02772,0.16709,20.64,-28.8,False
508,0.02772,0.17677,21.59,-25.5,False
697,0.02772,0.19503,12.77,-56.0,False
110,0.02772,0.14682,22.53,-22.3,False
665,0.02772,0.23562,32.73,12.9,False
1531,0.02772,0.21243,13.32,-54.0,False
1995,0.02772,0.12633,19.68,-32.1,False
1391,0.02772,0.23821,20.67,-28.7,False
2017,0.02772,0.20686,8.93,-69.2,False
2037,0.02772,0.17416,27.2,-6.2,False
1657,0.02772,0.16709,20.64,-28.8,False
2214,0.02773,0.18709,23.37,-19.4,False
1478,0.02773,0.20944,21.21,-26.8,False
1065,0.02773,0.24956,15.26,-47.4,False
698,0.02773,0.24453,10.68,-63.2,False
2219,0.02773,0.19577,15.94,-45.0,False
2263,0.02773,0.24453,10.68,-63.2,False
826,0.02773,0.19586,23.14,-20.2,False
334,0.02773,0.19586,23.14,-20.2,False
888,0.02773,0.24735,24.51,-15.5,False
1640,0.02773,0.22677,14.75,-49.1,False
1298,0.02773,0.21494,24.12,-16.8,False
1195,0.02773,0.17651,16.24,-44.0,False
401,0.02773,0.17651,16.24,-44.0,False
400,0.02773,0.24145,13.07,-54.9,False
2183,0.02773,0.21206,17.95,-38.1,False
686,0.02773,0.17117,21.42,-26.1,False
2351,0.02774,0.23786,11.06,-61.9,False
603,0.02774,0.22216,16.3,-43.8,False
1426,0.02774,0.25326,39.65,36.8,False
831,0.02774,0.24142,23.49,-19.0,False
719,0.02775,0.23854,11.09,-61.8,False
201,0.02775,0.12959,29.14,0.5,False
1699,0.02775,0.2071,28.24,-2.6,False
1066,0.02775,0.17234,26.07,-10.1,False
2280,0.02775,0.22115,23.45,-19.1,False
20,0.02775,0.21414,26.59,-8.3,False
1990,0.02775,0.17234,26.07,-10.1,False
594,0.02775,0.17284,21.68,-25.2,False
1113,0.02775,0.20613,28.48,-1.7,False
347,0.02776,0.21443,18.19,-37.3,False
860,0.02776,0.1819,14.86,-48.7,False
341,0.02776,0.19412,26.92,-7.1,False
1098,0.02776,0.18141,39.58,36.5,False
463,0.02776,0.20035,20.27,-30.1,False
1554,0.02776,0.18913,26.61,-8.2,False
1475,0.02776,0.19506,27.64,-4.6,False
596,0.02776,0.19189,16.95,-41.5,False
571,0.02776,0.19902,21.34,-26.4,False
656,0.02776,0.18457,40.51,39.7,False
2193,0.02776,0.15395,23.4,-19.3,False
595,0.02776,0.20476,25.76,-11.2,False
1410,0.02777,0.21842,19.22,-33.7,False
728,0.02777,0.26097,21.43,-26.1,False
2231,0.02777,0.2505,10.7,-63.1,False
1686,0.02777,0.18184,15.99,-44.9,False
195,0.02777,0.22858,10.55,-63.6,False
2337,0.02777,0.23261,27.6,-4.8,False
259,0.02777,0.2505,10.7,-63.1,False
2085,0.02777,0.17041,16.39,-43.5,False
1236,0.02778,0.23251,40.16,38.5,False
974,0.02778,0.21021,15.9,-45.1,False
1637,0.02778,0.15238,32.82,13.2,False
1746,0.02778,0.17229,23.36,-19.4,False
1285,0.02778,0.21586,9.2,-68.3,False
1287,0.02778,0.2184,15.57,-46.3,False
1515,0.02778,0.21586,9.2,-68.3,False
721,0.02778,0.18407,29.43,1.5,False
2167,0.02778,0.23895,17.13,-40.9,False
252,0.02778,0.25465,25.12,-13.4,False
1794,0.02778,0.19974,19.56,-32.5,False
2009,0.02778,0.25465,25.12,-13.4,False
113,0.02778,0.2312,41.24,42.3,False
218,0.02778,0.2264,13.77,-52.5,False
1851,0.02779,0.2513,33.02,13.9,False
447,0.02779,0.16738,27.85,-3.9,False
1721,0.02779,0.20648,22.36,-22.9,False
115,0.02779,0.22471,10.21,-64.8,False
654,0.02779,0.22589,24.22,-16.5,False
1429,0.02779,0.27034,21.82,-24.7,False
2035,0.02779,0.23081,22.28,-23.2,False
1335,0.0278,0.21853,19.97,-31.1,False
778,0.0278,0.24917,17.25,-40.5,False
705,0.0278,0.22422,24.4,-15.8,False
56,0.0278,0.25527,25.29,-12.8,False
328,0.0278,0.18052,17.25,-40.5,False
233,0.0278,0.1961,15.86,-45.3,False
1783,0.0278,0.18613,16.96,-41.5,False
283,0.0278,0.21853,19.97,-31.1,False
44,0.0278,0.16864,22.71,-21.7,False
1114,0.0278,0.1987,27.24,-6.0,False
1658,0.0278,0.2334,11.79,-59.3,False
1118,0.0278,0.20513,27.88,-3.8,False
93,0.0278,0.1987,27.24,-6.0,False
159,0.0278,0.18935,17.51,-39.6,False
2373,0.0278,0.18447,22.89,-21.0,False
879,0.0278,0.18935,17.51,-39.6,False
546,0.02781,0.20547,18.13,-37.5,False
823,0.02781,0.19124,22.94,-20.9,False
51,0.02781,0.16762,24.91,-14.1,False
377,0.02781,0.24488,12.15,-58.1,False
1156,0.02781,0.22741,37.38,29.0,False
1840,0.02781,0.20359,12.64,-56.4,False
1212,0.02781,0.18589,38.16,31.6,False
580,0.02781,0.20172,17.04,-41.2,False
548,0.02781,0.24895,14.96,-48.4,False
2288,0.02781,0.16408,20.67,-28.7,False
1945,0.02781,0.18589,38.16,31.6,False
1581,0.02781,0.16129,22.11,-23.7,False
2164,0.02781,0.20172,17.04,-41.2,False
453,0.02781,0.22541,25.23,-13.0,False
2274,0.02781,0.16129,22.11,-23.7,False
730,0.02782,0.24456,24.32,-16.1,False
816,0.02782,0.22214,12.87,-55.6,False
429,0.02782,0.25187,12.51,-56.8,False
808,0.02782,0.19782,10.42,-64.1,False
994,0.02782,0.22725,11.23,-61.2,False
1753,0.02782,0.15454,33.96,17.1,False
111,0.02782,0.18389,18.66,-35.6,False
1557,0.02782,0.15454,33.96,17.1,False
739,0.02782,0.19614,17.23,-40.6,False
1953,0.02782,0.17795,24.53,-15.4,False
88,0.02782,0.17571,22.65,-21.9,False
2259,0.02782,0.2187,27.6,-4.8,False
1362,0.02782,0.15576,15.1,-47.9,False
1097,0.02782,0.17571,22.65,-21.9,False
457,0.02782,0.19355,20.22,-30.2,False
1012,0.02783,0.19322,26.56,-8.4,False
1901,0.02783,0.19021,16.63,-42.6,False
1589,0.02783,0.193,26.87,-7.3,False
1582,0.02783,0.25704,37.82,30.5,False
840,0.02783,0.22861,28.18,-2.8,False
1622,0.02783,0.22264,19.65,-32.2,False
1493,0.02783,0.20899,33.91,17.0,False
295,0.02783,0.22686,15.09,-48.0,False
244,0.02783,0.24373,29.95,3.3,False
1716,0.02783,0.24545,10.95,-62.2,False
1062,0.02783,0.22264,19.65,-32.2,False
235,0.02783,0.16635,18.0,-37.9,False
104,0.02783,0.20777,19.94,-31.2,False
1245,0.02783,0.16979,24.73,-14.7,False
23,0.02783,0.20911,28.44,-1.9,False
2066,0.02784,0.21333,37.13,28.1,False
419,0.02784,0.19485,22.27,-23.2,False
1116,0.02784,0.22563,10.48,-63.9,False
628,0.02784,0.19653,27.77,-4.2,False
712,0.02784,0.23699,18.86,-34.9,False
1211,0.02784,0.22911,7.97,-72.5,False
909,0.02784,0.19347,24.95,-13.9,False
1911,0.02784,0.19485,22.27,-23.2,False
1872,0.02784,0.23699,18.86,-34.9,False
899,0.02785,0.14983,32.53,12.2,False
964,0.02785,0.21322,26.22,-9.6,False
1934,0.02785,0.23912,20.71,-28.6,False
878,0.02785,0.23028,18.06,-37.7,False
163,0.02785,0.15937,24.33,-16.1,False
1918,0.02785,0.21493,22.66,-21.9,False
1295,0.02786,0.19616,26.65,-8.1,False
225,0.02786,0.2109,20.3,-30.0,False
1532,0.02786,0.15896,16.97,-41.5,False
165,0.02786,0.23816,30.57,5.5,False
311,0.02786,0.2109,20.3,-30.0,False
1373,0.02786,0.25513,21.59,-25.5,False
363,0.02786,0.21813,15.16,-47.7,False
746,0.02786,0.20507,24.81,-14.4,False
2313,0.02786,0.23104,17.4,-40.0,False
2327,0.02786,0.24771,14.11,-51.3,False
2253,0.02786,0.17416,23.7,-18.3,False
1205,0.02786,0.16994,23.99,-17.2,False
256,0.02786,0.15859,19.78,-31.8,False
661,0.02786,0.18082,21.29,-26.6,False
2178,0.02787,0.20912,25.71,-11.3,False
139,0.02787,0.17336,19.39,-33.1,False
1152,0.02787,0.20972,27.63,-4.7,False
1659,0.02787,0.20972,27.63,-4.7,False
646,0.02787,0.16573,15.81,-45.5,False
1323,0.02787,0.20048,26.23,-9.5,False
1999,0.02787,0.18778,19.72,-32.0,False
1172,0.02787,0.20459,12.79,-55.9,False
2238,0.02787,0.23307,21.01,-27.5,False
774,0.02787,0.16967,31.45,8.5,False
1272,0.02787,0.20512,16.96,-41.5,False
1494,0.02787,0.21394,19.82,-31.6,False
648,0.02788,0.24666,18.9,-34.8,False
299,0.02788,0.18343,11.63,-59.9,False
1644,0.02788,0.22004,14.33,-50.6,False
867,0.02788,0.16391,21.91,-24.4,False
711,0.02788,0.22195,40.85,40.9,False
1777,0.02788,0.21158,18.41,-36.5,False
1271,0.02788,0.1787,32.9,13.5,False
2383,0.02788,0.2422,10.44,-64.0,False
1796,0.02788,0.19505,19.74,-31.9,False
791,0.02788,0.19615,22.54,-22.3,False
6,0.02788,0.1392,30.49,5.2,False
1027,0.02788,0.1787,32.9,13.5,False
1884,0.02788,0.23546,23.7,-18.2,False
1100,0.02789,0.20614,10.51,-63.7,False
736,0.02789,0.22013,18.99,-34.5,False
1680,0.02789,0.23996,22.48,-22.5,False
2054,0.02789,0.15641,20.91,-27.9,False
12,0.02789,0.19565,35.41,22.2,False
2126,0.02789,0.22787,28.4,-2.0,False
1759,0.02789,0.23996,22.48,-22.5,False
1583,0.02789,0.24181,23.52,-18.9,False
1193,0.02789,0.22111,23.36,-19.4,False
1619,0.02789,0.19006,30.28,4.5,False
2229,0.02789,0.17768,15.14,-47.8,False
355,0.02789,0.22261,13.87,-52.2,False
188,0.02789,0.18157,19.83,-31.6,False
1595,0.0279,0.18597,19.15,-33.9,False
1920,0.0279,0.21587,18.61,-35.8,False
630,0.0279,0.26473,14.46,-50.1,False
161,0.0279,0.2681,10.52,-63.7,False
669,0.0279,0.22567,10.3,-64.5,False
2384,0.0279,0.22583,14.26,-50.8,False
1560,0.0279,0.22762,24.69,-14.8,False
1685,0.0279,0.21506,30.21,4.2,False
1476,0.0279,0.25623,26.44,-8.8,False
474,0.0279,0.24533,10.89,-62.4,False
572,0.0279,0.19672,27.71,-4.4,False
1024,0.0279,0.19719,27.48,-5.2,False
624,0.02791,0.22656,30.5,5.2,False
1080,0.02791,0.21292,9.33,-67.8,False
466,0.02791,0.19598,22.82,-21.3,False
386,0.02791,0.2332,14.12,-51.3,False
1633,0.02791,0.23681,17.43,-39.9,False
876,0.02791,0.2042,15.05,-48.1,False
2157,0.02791,0.20126,15.89,-45.2,False
431,0.02791,0.22593,30.09,3.8,False
2296,0.02791,0.17522,34.54,19.1,False
984,0.02791,0.20019,23.25,-19.8,False
1545,0.02791,0.2086,24.93,-14.0,False
1957,0.02791,0.20572,21.15,-27.1,False
776,0.02791,0.21292,9.33,-67.8,False
1788,0.02791,0.24405,15.61,-46.2,False
1729,0.02791,0.19444,20.52,-29.2,False
1708,0.02791,0.21743,16.5,-43.1,False
1107,0.02792,0.22075,47.56,64.1,False
2396,0.02792,0.22526,20.44,-29.5,False
145,0.02792,0.20341,24.16,-16.7,False
1214,0.02792,0.18947,28.86,-0.5,False
940,0.02792,0.20264,24.28,-16.2,False
1944,0.02792,0.2291,22.0,-24.1,False
1903,0.02792,0.22644,22.32,-23.0,False
1846,0.02792,0.17959,27.13,-6.4,False
1418,0.02792,0.2174,22.32,-23.0,False
753,0.02792,0.21343,32.06,10.6,False
2341,0.02792,0.20121,27.38,-5.5,False
1739,0.02792,0.17959,27.13,-6.4,False
2286,0.02792,0.22985,22.39,-22.8,False
2281,0.02792,0.23531,34.45,18.8,False
480,0.02793,0.20652,8.96,-69.1,False
1233,0.02793,0.1699,30.51,5.2,False
361,0.02793,0.24773,26.48,-8.6,False
1222,0.02793,0.19083,42.89,47.9,False
2228,0.02793,0.22331,27.14,-6.4,False
267,0.02793,0.25929,6.97,-76.0,False
1470,0.02793,0.19704,13.04,-55.0,False
684,0.02793,0.23791,15.41,-46.8,False
2358,0.02793,0.20652,8.96,-69.1,False
1459,0.02793,0.18543,23.26,-19.8,False
1371,0.02793,0.14006,30.2,4.2,False
716,0.02794,0.18629,14.04,-51.6,False
162,0.02794,0.18629,14.04,-51.6,False
763,0.02794,0.15869,15.71,-45.8,False
2136,0.02794,0.24048,13.0,-55.2,False
961,0.02794,0.1935,13.87,-52.1,False
1839,0.02794,0.17506,29.06,0.2,False
1246,0.02794,0.18629,14.04,-51.6,False
1314,0.02794,0.22388,29.1,0.4,False
486,0.02794,0.15643,19.61,-32.4,False
1143,0.02794,0.15706,19.35,-33.3,False
125,0.02794,0.25011,6.45,-77.7,False
1552,0.02794,0.2485,33.89,16.9,False
2200,0.02794,0.23239,24.03,-17.1,False
1028,0.02794,0.24048,13.0,-55.2,False
1300,0.02794,0.20852,27.83,-4.0,False
898,0.02794,0.16707,23.18,-20.0,False
2010,0.02794,0.24576,10.37,-64.2,False
1364,0.02794,0.25143,11.94,-58.8,False
903,0.02794,0.23116,17.51,-39.6,False
1500,0.02794,0.15869,15.71,-45.8,False
109,0.02795,0.16921,18.82,-35.1,False
1191,0.02795,0.16921,18.82,-35.1,False
756,0.02795,0.22206,26.89,-7.3,False
735,0.02795,0.22206,26.89,-7.3,False
2272,0.02795,0.24954,15.67,-45.9,False
98,0.02795,0.22443,32.97,13.7,False
1331,0.02795,0.19008,17.09,-41.1,False
1102,0.02795,0.2338,26.62,-8.2,False
1382,0.02795,0.21036,28.97,-0.1,False
1356,0.02795,0.2339,9.03,-68.9,False
1480,0.02795,0.23987,19.8,-31.7,False
1529,0.02796,0.20195,13.72,-52.7,False
720,0.02796,0.19811,24.24,-16.4,False
1438,0.02796,0.23894,18.31,-36.9,False
1547,0.02796,0.22766,29.49,1.7,False
1267,0.02796,0.2012,16.02,-44.7,False
855,0.02796,0.21127,10.54,-63.6,False
1334,0.02796,0.21127,10.54,-63.6,False
510,0.02796,0.20958,41.2,42.1,False
412,0.02796,0.2007,12.95,-55.3,False
234,0.02796,0.19909,27.9,-3.8,False
393,0.02796,0.17728,27.1,-6.5,False
1594,0.02796,0.1451,19.93,-31.3,False
413,0.02796,0.20158,23.15,-20.2,False
193,0.02796,0.20456,27.88,-3.8,False
2348,0.02797,0.24042,27.18,-6.2,False
89,0.02797,0.20418,20.38,-29.7,False
850,0.02797,0.22175,33.95,17.1,False
1308,0.02797,0.21772,25.52,-12.0,False
725,0.02797,0.18038,14.1,-51.4,False
944,0.02797,0.20258,18.6,-35.8,False
2106,0.02797,0.20902,7.36,-74.6,False
1789,0.02797,0.13029,19.38,-33.2,False
2290,0.02797,0.23203,14.23,-50.9,False
2098,0.02797,0.18038,14.1,-51.4,False
647,0.02797,0.23203,14.23,-50.9,False
687,0.02797,0.20418,20.38,-29.7,False
550,0.02797,0.25566,30.96,6.8,False
170,0.02797,0.15682,23.92,-17.5,False
1937,0.02797,0.23356,15.47,-46.6,False
1972,0.02797,0.16231,13.66,-52.9,False
1053,0.02797,0.20254,10.57,-63.6,False
1255,0.02798,0.19234,18.43,-36.4,False
383,0.02798,0.22923,23.63,-18.5,False
1404,0.02798,0.22181,29.64,2.2,False
1140,0.02798,0.18368,25.62,-11.6,False
833,0.02798,0.20452,24.35,-16.0,False
1316,0.02798,0.23551,14.38,-50.4,False
2252,0.02798,0.18018,11.58,-60.1,False
1511,0.02798,0.24024,14.64,-49.5,False
1609,0.02798,0.14224,19.26,-33.6,False
1232,0.02798,0.21517,13.76,-52.5,False
933,0.02798,0.25513,30.87,6.5,False
1023,0.02798,0.14518,19.39,-33.1,False
2142,0.02799,0.23236,17.96,-38.0,False
948,0.02799,0.1712,13.14,-54.7,False
1743,0.02799,0.16838,22.51,-22.4,False
1370,0.02799,0.17064,26.61,-8.2,False
437,0.02799,0.22198,28.47,-1.8,False
1815,0.02799,0.1873,19.2,-33.8,False
2246,0.02799,0.12339,23.03,-20.6,False
2322,0.02799,0.23336,17.68,-39.0,False
1276,0.02799,0.25439,17.62,-39.2,False
651,0.02799,0.21929,20.98,-27.6,False
160,0.02799,0.24271,18.93,-34.7,False
